date,host,algo,numproc,msgsize,hostTime,hostMem,simTime
2015-02-23,barbecue-0,ring_one_barrier,60,1124257,4.00,3962260k,0.735123
2015-02-23,barbecue-0,mvapich2_scatter_dest,60,1124257,4.02,3962524k,0.714481
2015-02-23,barbecue-0,mvapich2,60,1124257,3.99,3962524k,0.714481
2015-02-23,barbecue-0,ompi,60,1124257,3.90,3962260k,0.734863
2015-02-23,barbecue-0,mpich,60,1124257,3.89,3962260k,0.734863
2015-02-23,barbecue-0,impi,60,1124257,4.03,3962524k,0.715533
2015-02-23,barbecue-0,basic_linear,19,178185,0.28,132032k,0.034787
2015-02-23,barbecue-0,bruck,19,178185,0.30,132036k,0.034787
2015-02-23,barbecue-0,rdb,19,178185,1.87,1136824k,1.206671
2015-02-23,barbecue-0,ring,19,178185,0.22,75544k,0.044570
2015-02-23,barbecue-0,ring_light_barrier,19,178185,0.22,75540k,0.045676
2015-02-23,barbecue-0,ring_mpi_barrier,19,178185,0.29,75588k,0.048083
2015-02-23,barbecue-0,ring_one_barrier,19,178185,0.35,75580k,0.044765
2015-02-23,barbecue-0,mvapich2_scatter_dest,19,178185,0.26,85572k,0.037089
2015-02-23,barbecue-0,mvapich2,19,178185,0.30,85572k,0.037089
2015-02-23,barbecue-0,ompi,19,178185,0.24,75540k,0.044570
2015-02-23,barbecue-0,mpich,19,178185,0.23,75540k,0.044570
2015-02-23,barbecue-0,2dmesh,52,1138044,52.59,14862188k,9.357364
2015-02-23,barbecue-0,basic_linear,52,1138044,3.15,3017860k,0.619559
2015-02-23,barbecue-0,bruck,52,1138044,3.12,3017860k,0.619559
2015-02-23,barbecue-0,ring,52,1138044,2.98,3014692k,0.642720
2015-02-23,barbecue-0,ring_light_barrier,52,1138044,3.00,3014692k,0.645973
